optimizer,mixed_precision,module,batch_size,device,time,energy,accuracy,cost
adamw,fp16,lightseq,8,V100,667.24,1.390574e+08,0.931,0.3707
adamw,fp16,lightseq,8,A100,341.3,98686600.,0.9328,0.3792
adamw,fp16,lightseq,8,A10,878.55,1.35532265e+08,0.9378,0.2684
adamw,fp16,lightseq,8,T4,1902.65,1.37295476e+08,0.9294,0.2114
adamw,fp16,lightseq,16,V100,549.69,1.24899458e+08,0.9284,0.3054
adamw,fp16,lightseq,16,A100,277.54,81773921.,0.9258,0.3084
adamw,fp16,lightseq,16,A10,740.1,1.15067386e+08,0.936,0.2261
adamw,fp16,lightseq,16,T4,1648.55,1.19394168e+08,0.9316,0.1832
adamw,fp16,lightseq,32,V100,488.11,1.13596436e+08,0.9362,0.2712
adamw,fp16,lightseq,32,A100,242.89,72597557.,0.9348,0.2699
adamw,fp16,lightseq,32,A10,637.48,99265365.,0.9318,0.1948
adamw,fp16,lightseq,32,T4,1504.33,1.09309823e+08,0.933,0.1671
adamw,fp16,huggingface,8,V100,998.02,1.8466453e+08,0.9256,0.5545
adamw,fp16,huggingface,8,A100,529.28,1.38613775e+08,0.9326,0.5881
adamw,fp16,huggingface,8,A10,1328.82,2.03876692e+08,0.9326,0.406
adamw,fp16,huggingface,8,T4,2733.96,1.9656985e+08,0.933,0.3038
adamw,fp16,huggingface,16,V100,838.28,1.68458801e+08,0.934,0.4657
adamw,fp16,huggingface,16,A100,436.44,1.24417075e+08,0.9326,0.4849
adamw,fp16,huggingface,16,A10,1162.19,1.79341434e+08,0.9412,0.3551
adamw,fp16,huggingface,16,T4,2450.16,1.76836782e+08,0.9282,0.2722
adamw,fp16,huggingface,32,V100,,,,0.0
adamw,fp16,huggingface,32,A100,387.25,1.1434867e+08,0.9358,0.4303
adamw,fp16,huggingface,32,A10,1053.36,1.62733266e+08,0.9304,0.3219
adamw,fp16,huggingface,32,T4,,,,0.0
adamw,fp32,lightseq,8,V100,1972.26,4.62918752e+08,0.9164,1.0957
adamw,fp32,lightseq,8,A100,1448.95,4.32124086e+08,0.9322,1.6099
adamw,fp32,lightseq,8,A10,2344.44,3.6333582e+08,0.9272,0.7164
adamw,fp32,lightseq,8,T4,6072.4,4.40672428e+08,0.929,0.6747
adamw,fp32,lightseq,16,V100,1900.95,4.53865964e+08,0.934,1.0561
adamw,fp32,lightseq,16,A100,1372.19,4.10372783e+08,0.9274,1.5247
adamw,fp32,lightseq,16,A10,2163.65,3.35879686e+08,0.93,0.6611
adamw,fp32,lightseq,16,T4,5789.54,4.2039653e+08,0.9286,0.6433
adamw,fp32,lightseq,32,V100,,,,0.0
adamw,fp32,lightseq,32,A100,1320.36,4.03103442e+08,0.934,1.4671
adamw,fp32,lightseq,32,A10,,,,0.0
adamw,fp32,lightseq,32,T4,,,,0.0
adamw,fp32,huggingface,8,V100,2189.38,4.91359123e+08,0.9176,1.2163
adamw,fp32,huggingface,8,A100,1580.85,4.61175739e+08,0.9326,1.7565
adamw,fp32,huggingface,8,A10,2602.03,4.02175003e+08,0.9324,0.7951
adamw,fp32,huggingface,8,T4,6459.43,4.6815006e+08,0.9208,0.7177
adamw,fp32,huggingface,16,V100,2082.89,4.79395865e+08,0.936,1.1572
adamw,fp32,huggingface,16,A100,1493.23,4.46820058e+08,0.9298,1.6591
adamw,fp32,huggingface,16,A10,2398.87,3.72030304e+08,0.9398,0.733
adamw,fp32,huggingface,16,T4,6201.93,4.50053324e+08,0.933,0.6891
adamw,fp32,huggingface,32,V100,,,,0.0
adamw,fp32,huggingface,32,A100,1433.51,4.35738291e+08,0.933,1.5928
adamw,fp32,huggingface,32,A10,,,,0.0
adamw,fp32,huggingface,32,T4,,,,0.0
adamw,fp32,huggingface,128,TPUv2,746.,nan,0.938,0.257
adamw,fp32,huggingface,256,TPUv2,,,,0.0
adamw,fp32,huggingface,512,TPUv2,,,,0.0
adamw,bf16,huggingface,128,TPUv2,675.,nan,0.93,0.2325
adamw,bf16,huggingface,256,TPUv2,629.,nan,0.935,0.2167
adamw,bf16,huggingface,512,TPUv2,603.,nan,0.933,0.2077
adan,fp16,lightseq,8,V100,638.83,1.3623434e+08,0.9272,0.3549
adan,fp16,lightseq,8,A100,326.8,94872731.,0.9284,0.3631
adan,fp16,lightseq,8,A10,840.64,1.30392167e+08,0.9384,0.2569
adan,fp16,lightseq,8,T4,1850.11,1.33718571e+08,0.9334,0.2056
adan,fp16,lightseq,16,V100,536.93,1.23560387e+08,0.925,0.2983
adan,fp16,lightseq,16,A100,269.82,79748421.,0.9304,0.2998
adan,fp16,lightseq,16,A10,718.81,1.1187984e+08,0.9232,0.2196
adan,fp16,lightseq,16,T4,1613.21,1.1695624e+08,0.9254,0.1792
adan,fp16,lightseq,32,V100,481.41,1.12591533e+08,0.934,0.2675
adan,fp16,lightseq,32,A100,238.52,71237976.,0.935,0.265
adan,fp16,lightseq,32,A10,626.62,97703905.,0.929,0.1915
adan,fp16,lightseq,32,T4,,,,0.0
adan,fp16,huggingface,8,V100,965.67,1.78077286e+08,0.9072,0.5365
adan,fp16,huggingface,8,A100,511.62,1.34293294e+08,0.918,0.5685
adan,fp16,huggingface,8,A10,1278.18,1.9660345e+08,0.9326,0.3906
adan,fp16,huggingface,8,T4,2667.27,1.92003442e+08,0.9308,0.2964
adan,fp16,huggingface,16,V100,824.98,1.67276704e+08,0.9298,0.4583
adan,fp16,huggingface,16,A100,428.18,1.23318672e+08,0.9304,0.4758
adan,fp16,huggingface,16,A10,1136.54,1.75461012e+08,0.9258,0.3473
adan,fp16,huggingface,16,T4,2412.63,1.74149751e+08,0.9342,0.2681
adan,fp16,huggingface,32,V100,,,,0.0
adan,fp16,huggingface,32,A100,383.05,1.13277808e+08,0.923,0.4256
adan,fp16,huggingface,32,A10,1040.34,1.60717948e+08,0.9376,0.3179
adan,fp16,huggingface,32,T4,,,,0.0
adan,fp32,lightseq,8,V100,1945.29,4.60231451e+08,0.9264,1.0807
adan,fp32,lightseq,8,A100,1434.13,4.29259473e+08,0.9342,1.5935
adan,fp32,lightseq,8,A10,2303.38,3.57124333e+08,0.9288,0.7038
adan,fp32,lightseq,8,T4,,,,0.0
adan,fp32,lightseq,16,V100,1887.73,4.52186229e+08,0.9292,1.0487
adan,fp32,lightseq,16,A100,1364.03,4.08221399e+08,0.9408,1.5156
adan,fp32,lightseq,16,A10,2141.14,3.32547861e+08,0.9146,0.6542
adan,fp32,lightseq,16,T4,,,,0.0
adan,fp32,lightseq,32,V100,,,,0.0
adan,fp32,lightseq,32,A100,1320.5,4.01802719e+08,0.9202,1.4672
adan,fp32,lightseq,32,A10,,,,0.0
adan,fp32,lightseq,32,T4,,,,0.0
adan,fp32,huggingface,8,V100,2162.76,4.89054633e+08,0.9232,1.2015
adan,fp32,huggingface,8,A100,1563.13,4.58539486e+08,0.932,1.7368
adan,fp32,huggingface,8,A10,2554.21,3.95537491e+08,0.931,0.7805
adan,fp32,huggingface,8,T4,,,,0.0
adan,fp32,huggingface,16,V100,2073.87,4.78087174e+08,0.9278,1.1522
adan,fp32,huggingface,16,A100,1485.05,4.45225038e+08,0.9338,1.6501
adan,fp32,huggingface,16,A10,2374.41,3.68443936e+08,0.9332,0.7255
adan,fp32,huggingface,16,T4,,,,0.0
adan,fp32,huggingface,32,V100,,,,0.0
adan,fp32,huggingface,32,A100,1429.52,4.35017003e+08,0.9268,1.5884
adan,fp32,huggingface,32,A10,,,,0.0
adan,fp32,huggingface,32,T4,,,,0.0
adamw,fp32,huggingface,128,TPUv2,746,,0.938
adamw,fp32,huggingface,64,TPUv2,,,
adamw,bf16,huggingface,128,TPUv2,675,,0.93
adamw,bf16,huggingface,256,TPUv2,629,,0.935
adamw,bf16,huggingface,512,TPUv2,603,,0.933
adamw,fp32,huggingface,64,TPUv2,834.83,,0.926
